,AAS,AGCM,AFST,AFAS,AGED,ABE,ADV,AFRO,AIS,AE,ALEC,ACCY,AHS,ACE,ACES,ANSC,ANTH,ARAB,ARCH,ART,ARTD,ARTE,ARTJ,ASST,ARTS,ARTF,ARTH,ATMS,ASRM,ASTR,BCOG,BCS,BADM,BDI,BIOC,BIOE,CDB,CHBE,BIOP,BUS,BIOL,CB,BTW,BSE,CEE,CHIN,CHEM,CHP,CHLH,CI,CIC,CLCV,CSE,CMN,CW,CPSC,DTX,CZCH,CWL,CS,CLE,DANC,EALC,EDPR,ECON,ECE,EDUC,EIL,ENG,ENSU,ERAM,ESE,ENT,ENVS,EPOL,EPSY,FAA,ESL,EURO,ENGL,FLTE,FR,FIN,FSHN,GC,GSD,GS,GMC,GRK,GRKM,GLBL,HEBR,GEOG,GER,GWS,GEOL,HDFS,HIST,HORT,HNDI,HT,HUM,IB,IE,JAPN,JS,IHLT,KOR,INFO,ITAL,KIN,JOUR,IS,LAS,LAST,LAT,LA,LCTL,LEAD,MFST,MDVL,LER,MDIA,MBA,MICR,LING,MCB,MACS,LLS,LAW,MATH,ME,MILS,MIP,MUSE,MSE,NE,NEUR,MUS,PBIO,PERS,NS,NPRE,MUSC,NUTR,PATH,NRES,PHIL,PLPA,PHYS,POL,PSM,PORT,PS,QUEC,PSYC,REES,REHB,RMLG,RSOC,RHET,SBC,SCAN,SAME,RUSS,REL,SE,SLAV,RST,SHS,SOC,SOCW,SPAN,SWAH,SPED,TAM,TE,STAT,TMGT,TURK,UKR,TRST,THEA,TSM,UP,VCM,VM,WGGP,WLOF,WRIT,YDSH
46,,,,,,,,,,,,,,"516 
                                        Environmental Economics
                                    ",,,"515 
                                        Seminar in Anthropology
                                    ",,,,,,,,,,,,,,,,"445 
                                        Small Business Consulting
                                    ",,,,,,,,,,,,"554 
                                        Hydrologic Variability
                                    ",,"542 
                                        Quantum Mech and Spectroscopy
                                    ",,"593 
                                        Special Projects
                                    ",,,,,"595 
                                        Special Problems
                                    ",,,,,,"468 
                                        Tech and Advertising Campaigns
                                    ","751 
                                        Neonatal Intensive Care
                                    ","423 
                                        Perf Pract February II
                                    ",,,,"441 
                                        Physcs & Modeling Semicond Dev
                                    ",,,,,,,,,"599 
                                        Thesis Research
                                    ",,,,,"396 
                                        English Honors Seminar
                                    ",,,"554 
                                        Algorithmic Trading Systems Design and Testing
                                    ","597 
                                        Graduate Seminar
                                    ",,,,,,,,,,,,,,"387 
                                        History of Sexuality in U.S.
                                    ",,,,,,,,,,,,,"591 
                                        Seminar
                                    ",,"501 
                                        Reference and Information Services
                                    ",,,,,,,,,,,,,,"582 
                                        Laboratory Rotation II
                                    ",,,"796 
                                        Comparative Law Topics
                                    ","490 
                                        Advanced Topics in Mathematics
                                    ",,,,,,,,"369 
                                        Jazz Improvisation Styles II
                                    ",,,,,"416 
                                        Advanced Electric Violin
                                    ",,,"594 
                                        NRES Professional Orientation
                                    ",,,,,,,"534 
                                        Modeling Heterogeneity
                                    ",,"489 
                                        Neural Network Modeling Lab
                                    ",,,,,,,,,,,,,"590 
                                        Doctoral Research Seminar and Colloquium
                                    ",,,"552 
                                        HBSE II: Mental Disorders
                                    ",,,,,,,,,,,"447 
                                        Costume Rendering
                                    ",,,,,,,,
47,,,,,,,,,,,,,,"530 
                                        Microeconometrics
                                    ",,,"540 
                                        Seminar in Bioanthropology
                                    ",,,,,,,,,,,,,,,,"446 
                                        Entrepreneurship: New Venture Creation
                                    ",,,,,,,,,,,,"555 
                                        Mixing in Environmental Flows
                                    ",,"545 
                                        Physical Chemistry Seminar
                                    ",,"599 
                                        Thesis Research
                                    ",,,,,"599 
                                        Thesis Research
                                    ",,,,,,"473 
                                        Algorithms
                                    ","752 
                                        Pediatric Pulmonology & Sleep Medicine
                                    ","424 
                                        Collaborative Performance
                                    ",,,,"443 
                                        LEDs and Solar Cells
                                    ",,,,,,,,,,,,,,"402 
                                        Descriptive English Grammar
                                    ",,,"555 
                                        Financial Innovation
                                    ","598 
                                        Advanced Special Problems
                                    ",,,,,,,,,,,,,,"398 
                                        Internship in Public History
                                    ",,,,,,,,,,,,,"594 
                                        Special Topics
                                    ",,"504 
                                        Sociotechnical Information Systems
                                    ",,,,,,,,,,,,,,"583 
                                        Laboratory Rotation III
                                    ",,,"797 
                                        Intellectual Property Topics
                                    ","492 
                                        Undergraduate Research in Math
                                    ",,,,,,,,"404 
                                        Contemp Compos Techniques
                                    ",,,,,"417 
                                        Advanced Electric Viola
                                    ",,,"598 
                                        Experimental Graduate Courses
                                    ",,,,,,,"549 
                                        Topics in Comparative Politics
                                    ",,"492 
                                        Capstone Undergrad Research
                                    ",,,,,,,,,,,,,"593 
                                        Special Problems
                                    ",,,"553 
                                        Integrated Behavorial Health & Health Care
                                    ",,,,,,,,,,,"450 
                                        Management Seminar
                                    ",,,,,,,,
48,,,,,,,,,,,,,,"532 
                                        Spatial Econometrics
                                    ",,,"565 
                                        Race and Cultural Critique
                                    ",,,,,,,,,,,,,,,,"449 
                                        Business Policy and Strategy
                                    ",,,,,,,,,,,,"556 
                                        Hydrocomplexity
                                    ",,"550 
                                        Advanced Quantum Dynamics
                                    ",,,,,,,,,,,,,"475 
                                        Formal Models of Computation
                                    ","753 
                                        Pediatric Hematology
                                    ","425 
                                        Dance Internship
                                    ",,,,"444 
                                        IC Device Theory & Fabrication
                                    ",,,,,,,,,,,,,,"418 
                                        Shakespeare
                                    ",,,"561 
                                        Banking and Financial Regulation
                                    ","599 
                                        Thesis Research
                                    ",,,,,,,,,,,,,,"399 
                                        Independent Study
                                    ",,,,,,,,,,,,,"599 
                                        Thesis Research
                                    ",,"505 
                                        Information Organization and Access
                                    ",,,,,,,,,,,,,,"585 
                                        Current Topics in Microbiology
                                    ",,,"798 
                                        Seminars
                                    ","496 
                                        Honors Seminar
                                    ",,,,,,,,"406 
                                        Advanced Composition
                                    ",,,,,"420 
                                        Advanced Flute
                                    ",,,"599 
                                        Thesis Research
                                    ",,,,,,,"581 
                                        International War
                                    ",,"494 
                                        Advanced Research in Psych
                                    ",,,,,,,,,,,,,"594 
                                        Special Topics in Leisure
                                    ",,,"561 
                                        Special Studies in Soc Work I
                                    ",,,,,,,,,,,"454 
                                        Sound Design I
                                    ",,,,,,,,
49,,,,,,,,,,,,,,"542 
                                        Advanced Agricultural Finance
                                    ",,,"589 
                                        Readings in Anthropology
                                    ",,,,,,,,,,,,,,,,"453 
                                        Business Intelligence
                                    ",,,,,,,,,,,,"557 
                                        Groundwater Modeling
                                    ",,"575 
                                        Chemical Biology Seminar
                                    ",,,,,,,,,,,,,"482 
                                        Simulation
                                    ","764 
                                        Physical Medicine and Rehabilitation
                                    ","431 
                                        Production Practicum IV
                                    ",,,,"445 
                                        Senior Design Project Lab
                                    ",,,,,,,,,,,,,,"435 
                                        Nineteenth-Century British Fiction
                                    ",,,"563 
                                        Investment Banking
                                    ",,,,,,,,,,,,,,,"420 
                                        China Under the Qing Dynasty
                                    ",,,,,,,,,,,,,,,"507 
                                        Data, Statistical Models and Information
                                    ",,,,,,,,,,,,,,,,,,"499 
                                        Introduction Graduate Research
                                    ",,,,,,,,"408 
                                        Analysis of Musical Form
                                    ",,,,,"421 
                                        Advanced Oboe
                                    ",,,,,,,,,,"590 
                                        Research in Selected Topics
                                    ",,"496 
                                        Adv Current Topics in Psych
                                    ",,,,,,,,,,,,,"599 
                                        Thesis Research
                                    ",,,"576 
                                        Teaching Practicum
                                    ",,,,,,,,,,,"455 
                                        Sound Design II
                                    ",,,,,,,,
50,,,,,,,,,,,,,,"561 
                                        Adv Res and Scholarly Comm
                                    ",,,"590 
                                        Dissertation Readings
                                    ",,,,,,,,,,,,,,,,"461 
                                        Tech, Eng, & Mgt Final Project
                                    ",,,,,,,,,,,,"562 
                                        Highway Bridge Design
                                    ",,"582 
                                        Chemical Kinetics & Catalysis
                                    ",,,,,,,,,,,,,"484 
                                        Parallel Programming
                                    ","771 
                                        Addiction Medicine
                                    ","450 
                                        Teaching Workshop
                                    ",,,,"447 
                                        Active Microwave Ckt Design
                                    ",,,,,,,,,,,,,,"441 
                                        Innovation and Conflict in British and Irish Modernism
                                    ",,,"564 
                                        Applied Financial Analysis
                                    ",,,,,,,,,,,,,,,"425 
                                        Classical Chinese Thought
                                    ",,,,,,,,,,,,,,,"509 
                                        History and Foundations of Information Science
                                    ",,,,,,,,,,,,,,,,,,"500 
                                        Abstract Algebra I
                                    ",,,,,,,,"409 
                                        Elec Music Techniques II
                                    ",,,,,"422 
                                        Advanced Bassoon
                                    ",,,,,,,,,,"596 
                                        Evaluating New Research
                                    ",,"499 
                                        Senior Honors Seminar II
                                    ",,,,,,,,,,,,,,,,"579 
                                        Social Work Practice Theories
                                    ",,,,,,,,,,,"456 
                                        Properties Design
                                    ",,,,,,,,
51,,,,,,,,,,,,,,"563 
                                        Math Program App Econ I
                                    ",,,"599 
                                        Thesis Research
                                    ",,,,,,,,,,,,,,,,"464 
                                        iVenture Accelerator Seminar II: Topics in Entrepreneurship
                                    ",,,,,,,,,,,,"570 
                                        Finite Element Methods
                                    ",,"585 
                                        Materials Chemistry Seminar
                                    ",,,,,,,,,,,,,"491 
                                        Seminar
                                    ","773 
                                        Radiation Oncology
                                    ","451 
                                        Ind Study and Special Topics
                                    ",,,,"448 
                                        Artificial Intelligence
                                    ",,,,,,,,,,,,,,"455 
                                        Major Authors
                                    ",,,"567 
                                        Financial Risk Management
                                    ",,,,,,,,,,,,,,,"434 
                                        Women in Muslim Societies
                                    ",,,,,,,,,,,,,,,"510 
                                        Libraries, Information and Society
                                    ",,,,,,,,,,,,,,,,,,"506 
                                        Group Representation Theory
                                    ",,,,,,,,"410 
                                        Period Studies in Musicology
                                    ",,,,,"423 
                                        Advanced Clarinet
                                    ",,,,,,,,,,"597 
                                        Preparing Future Faculty
                                    ",,"500 
                                        Professional Develop for Psych
                                    ",,,,,,,,,,,,,,,,"580 
                                        Advanced Child Welfare
                                    ",,,,,,,,,,,"457 
                                        Model Making for the Stage
                                    ",,,,,,,,
52,,,,,,,,,,,,,,"591 
                                        Independent Study
                                    ",,,,,,,,,,,,,,,,,,,"508 
                                        Leadership and Teams
                                    ",,,,,,,,,,,,"572 
                                        Earthquake Engineering
                                    ",,"588 
                                        Physical Methods Mat Chem
                                    ",,,,,,,,,,,,,"493 
                                        Senior Project II, ACP
                                    ","774 
                                        Simulated Clinical Ultrasound
                                    ","455 
                                        Supervised Teaching
                                    ",,,,"449 
                                        Machine Learning
                                    ",,,,,,,,,,,,,,"461 
                                        Advanced Topics in Literature and Culture
                                    ",,,"571 
                                        Money and Banking
                                    ",,,,,,,,,,,,,,,"490 
                                        Honors Independent Study
                                    ",,,,,,,,,,,,,,,"511 
                                        Scholarly Communications
                                    ",,,,,,,,,,,,,,,,,,"511 
                                        Intro to Algebraic Geometry
                                    ",,,,,,,,"414 
                                        Music and Society
                                    ",,,,,"424 
                                        Advanced Saxophone
                                    ",,,,,,,,,,"598 
                                        Dissertation Design Seminar
                                    ",,"501 
                                        Best Psych Research Practices
                                    ",,,,,,,,,,,,,,,,"581 
                                        Gender Relations & Intl Dev
                                    ",,,,,,,,,,,"458 
                                        Digital Rendering Techniques
                                    ",,,,,,,,
53,,,,,,,,,,,,,,"592 
                                        Special Topics
                                    ",,,,,,,,,,,,,,,,,,,"509 
                                        Managing Organizations
                                    ",,,,,,,,,,,,"573 
                                        Structural Dynamics II
                                    ",,"590 
                                        Special Topics in Chemistry
                                    ",,,,,,,,,,,,,"494 
                                        Senior Project II
                                    ","775 
                                        Point of Care Ultrasound
                                    ","456 
                                        Choreographic Laboratory Advanced
                                    ",,,,"454 
                                        Antennas
                                    ",,,,,,,,,,,,,,"481 
                                        Composition Theory and Practice
                                    ",,,"572 
                                        The Finance of Mergers and Acquisitions
                                    ",,,,,,,,,,,,,,,"491 
                                        Directed Research in Digital History
                                    ",,,,,,,,,,,,,,,"514 
                                        Applied Business Research
                                    ",,,,,,,,,,,,,,,,,,"519 
                                        Differentiable Manifolds II
                                    ",,,,,,,,"418 
                                        Regional Studies in Musicology
                                    ",,,,,"425 
                                        Advanced Trumpet
                                    ",,,,,,,,,,"599 
                                        Thesis Research
                                    ",,"504 
                                        Theories of Attention
                                    ",,,,,,,,,,,,,,,,"584 
                                        Policy Practice and Advocacy
                                    ",,,,,,,,,,,"462 
                                        Advanced Media Design
                                    ",,,,,,,,
54,,,,,,,,,,,,,,"594 
                                        Seminars and Workshops
                                    ",,,,,,,,,,,,,,,,,,,"512 
                                        HR Management and Strategy
                                    ",,,,,,,,,,,,"575 
                                        Fracture and Fatigue
                                    ",,"593 
                                        Advanced Professional Development for Chemists
                                    ",,,,,,,,,,,,,"497 
                                        CS Team Project
                                    ","776 
                                        Diagnostic Radiology and Non-Cardiac Nuclear Medicine
                                    ","459 
                                        Contact Improv Act/Mus/Dan II
                                    ",,,,"461 
                                        Digital Communications
                                    ",,,,,,,,,,,,,,"486 
                                        History of Translation
                                    ",,,"579 
                                        Applied Portfolio Management
                                    ",,,,,,,,,,,,,,,"492 
                                        Historiography and Methodology
                                    ",,,,,,,,,,,,,,,"515 
                                        Information Modeling
                                    ",,,,,,,,,,,,,,,,,,"525 
                                        Algebraic Topology I
                                    ",,,,,,,,"422 
                                        Musical Theatre Repertoire
                                    ",,,,,"426 
                                        Advanced Horn
                                    ",,,,,,,,,,,,"507 
                                        Statistical Methods II
                                    ",,,,,,,,,,,,,,,,"589 
                                        Social Work and the Law
                                    ",,,,,,,,,,,"475 
                                        Acting Studio IV: Dynamics
                                    ",,,,,,,,
55,,,,,,,,,,,,,,"599 
                                        Thesis Research
                                    ",,,,,,,,,,,,,,,,,,,"520 
                                        Marketing Management
                                    ",,,,,,,,,,,,"580 
                                        Excavation and Support Systems
                                    ",,"599 
                                        Thesis Research
                                    ",,,,,,,,,,,,,"498 
                                        Special Topics
                                    ","777 
                                        Vascular and Interventional Radiology
                                    ","460 
                                        Adv Contemp Modern Tech Core
                                    ",,,,"470 
                                        Introduction to Robotics
                                    ",,,,,,,,,,,,,,"498 
                                        Environmental Writing for Publication
                                    ",,,"580 
                                        Special Topics in Finance
                                    ",,,,,,,,,,,,,,,"493 
                                        Honors Senior Thesis
                                    ",,,,,,,,,,,,,,,"517 
                                        Methods of Data Science
                                    ",,,,,,,,,,,,,,,,,,"530 
                                        Algebraic Number Theory
                                    ",,,,,,,,"426 
                                        Orchestration
                                    ",,,,,"427 
                                        Advanced Trombone
                                    ",,,,,,,,,,,,"510 
                                        Advances in Behavioral Neuroscience
                                    ",,,,,,,,,,,,,,,,"594 
                                        Individual Research
                                    ",,,,,,,,,,,"476 
                                        Acting Studio IV: Voice
                                    ",,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"537 
                                        Advanced Topics in Marketing
                                    ",,,,,,,,,,,,"591 
                                        Reliability Analysis
                                    ",,,,,,,,,,,,,,,"499 
                                        Senior Thesis
                                    ","778 
                                        Imaging in Critical Care
                                    ","461 
                                        Adv Contemp Modern Tech Elect
                                    ",,,,"472 
                                        Biomedical Ultrasound Imaging
                                    ",,,,,,,,,,,,,,"504 
                                        Theories of Cinema
                                    ",,,"584 
                                        Corporate Finance
                                    ",,,,,,,,,,,,,,,"498 
                                        Research and Writing Seminar
                                    ",,,,,,,,,,,,,,,"523 
                                        Preserving Info Resources
                                    ",,,,,,,,,,,,,,,,,,"532 
                                        Analytic Theory of Numbers II
                                    ",,,,,,,,"430 
                                        Applied Music Pedagogy
                                    ",,,,,"428 
                                        Advanced Euphonium
                                    ",,,,,,,,,,,,"539 
                                        Intro to Clin-Comm Psych II
                                    ",,,,,,,,,,,,,,,,"595 
                                        Quantitative Research Designs
                                    ",,,,,,,,,,,"477 
                                        Acting Studio IV: Movement
                                    ",,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"540 
                                        Frontiers in Technology
                                    ",,,,,,,,,,,,"592 
                                        Sustainable Urban Systems
                                    ",,,,,,,,,,,,,,,"500 
                                        Current Topics in Computing Education Research
                                    ","779 
                                        Bariatric Surgery
                                    ","465 
                                        Screendance
                                    ",,,,"481 
                                        Nanotechnology
                                    ",,,,,,,,,,,,,,"514 
                                        Seminar in Medieval Literature
                                    ",,,"590 
                                        Individual Study and Research
                                    ",,,,,,,,,,,,,,,"499 
                                        Thesis Seminar
                                    ",,,,,,,,,,,,,,,"524 
                                        Data Governance
                                    ",,,,,,,,,,,,,,,,,,"540 
                                        Real Analysis
                                    ",,,,,,,,"434 
                                        Assessment and Evaluation in Music Education
                                    ",,,,,"429 
                                        Advanced Tuba
                                    ",,,,,,,,,,,,"543 
                                        Interdisciplinary Approaches to Neuroscience II
                                    ",,,,,,,,,,,,,,,,"599 
                                        Dissertation Research
                                    ",,,,,,,,,,,"478 
                                        Acting Studio IV: Acting
                                    ",,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"543 
                                        Technology Strategy
                                    ",,,,,,,,,,,,"593 
                                        Tunneling in Soil and Rock
                                    ",,,,,,,,,,,,,,,"510 
                                        Advanced Information Retrieval
                                    ","780 
                                        Hand Surgery
                                    ","466 
                                        Advanced Ballet Tech Core
                                    ",,,,"483 
                                        Analog IC Design
                                    ",,,,,,,,,,,,,,"547 
                                        Seminar Earlier American Lit
                                    ",,,"599 
                                        Thesis Research
                                    ",,,,,,,,,,,,,,,"502 
                                        Prob in Comparative History
                                    ",,,,,,,,,,,,,,,"525 
                                        Data Warehousing and Business Intelligence
                                    ",,,,,,,,,,,,,,,,,,"541 
                                        Functional Analysis
                                    ",,,,,,,,"436 
                                        Jazz Aural Skills II
                                    ",,,,,"430 
                                        Advanced Percussion
                                    ",,,,,,,,,,,,"546 
                                        Intervention & Assessment
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"479 
                                        Preparation for Auditions
                                    ",,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"544 
                                        Strategic Management
                                    ",,,,,,,,,,,,"595 
                                        Seminar
                                    ",,,,,,,,,,,,,,,"521 
                                        Advanced Topics in Programming Systems
                                    ","781 
                                        Vascular Surgery
                                    ","467 
                                        Advanced Ballet Tech Elect
                                    ",,,,"484 
                                        Principles of Safe Autonomy
                                    ",,,,,,,,,,,,,,"563 
                                        Seminar Themes and Movements
                                    ",,,,,,,,,,,,,,,,,,"503 
                                        Prob in Comp Women's Hist
                                    ",,,,,,,,,,,,,,,"529 
                                        Doctoral ProSeminar
                                    ",,,,,,,,,,,,,,,,,,"552 
                                        Numerical Methods for PDEs
                                    ",,,,,,,,"437 
                                        Popular Music Pedagogy
                                    ",,,,,"431 
                                        Advanced Jazz Voice
                                    ",,,,,,,,,,,,"548 
                                        Modeling Heterogeneity
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"482 
                                        Content Creation 2: Motion Graphics & VFX for Media Design
                                    ",,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"545 
                                        Found of Strategy Research
                                    ",,,,,,,,,,,,"597 
                                        Independent Study
                                    ",,,,,,,,,,,,,,,"526 
                                        Advanced Compiler Construction
                                    ","782 
                                        Rural Surgery
                                    ","497 
                                        BA Capstone Project
                                    ",,,,"486 
                                        Control Systems
                                    ",,,,,,,,,,,,,,"578 
                                        Seminar Lit &Other Disciplines
                                    ",,,,,,,,,,,,,,,,,,"510 
                                        Problems in African History
                                    ",,,,,,,,,,,,,,,"530 
                                        Collection Development
                                    ",,,,,,,,,,,,,,,,,,"553 
                                        Partial Differential Equations
                                    ",,,,,,,,"443 
                                        Orchestral Repertory
                                    ",,,,,"432 
                                        Advanced Jazz Saxophone
                                    ",,,,,,,,,,,,"551 
                                        Theory in Social Psychology
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"485 
                                        Prop Furniture Construction
                                    ",,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"550 
                                        Business Practicum
                                    ",,,,,,,,,,,,"598 
                                        Special Topics
                                    ",,,,,,,,,,,,,,,"533 
                                        Parallel Computer Architecture
                                    ","783 
                                        Colon and Rectal Surgery
                                    ","498 
                                        Senior Thesis Production
                                    ",,,,"489 
                                        Robot Dynamics and Control
                                    ",,,,,,,,,,,,,,"581 
                                        Seminar Literary Theory
                                    ",,,,,,,,,,,,,,,,,,"521 
                                        Research Seminar: China
                                    ",,,,,,,,,,,,,,,"532 
                                        School Library Management
                                    ",,,,,,,,,,,,,,,,,,"561 
                                        Theory of Probability I
                                    ",,,,,,,,"444 
                                        Healthy Music Practices
                                    ",,,,,"433 
                                        Advanced Jazz Trumpet
                                    ",,,,,,,,,,,,"555 
                                        Detection and Discrimination
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"490 
                                        Professional Internship
                                    ",,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"554 
                                        Enterprise Database Management
                                    ",,,,,,,,,,,,"599 
                                        Thesis Research
                                    ",,,,,,,,,,,,,,,"534 
                                        Advanced Topics in Computer Architecture
                                    ","784 
                                        Pediatric Surgery
                                    ","499 
                                        Senior Thesis Project
                                    ",,,,"490 
                                        Introduction to Optimization
                                    ",,,,,,,,,,,,,,"582 
                                        Topics Research and Writing
                                    ",,,,,,,,,,,,,,,,,,"572 
                                        Prob in US Hist Since 1815
                                    ",,,,,,,,,,,,,,,"534 
                                        Information Consulting
                                    ",,,,,,,,,,,,,,,,,,"563 
                                        Risk Modeling and Analysis
                                    ",,,,,,,,"451 
                                        Basso Continuo
                                    ",,,,,"434 
                                        Advanced Jazz Trombone
                                    ",,,,,,,,,,,,"567 
                                        Personality Assessment
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"491 
                                        Advanced CAD Drafting for Lighting Designers
                                    ",,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"555 
                                        Info Sys Development and Mgt
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"555 
                                        Numerical Methods for PDEs
                                    ","786 
                                        Introduction to Urology
                                    ","520 
                                        Synthesis Laboratory
                                    ",,,,"491 
                                        Numerical Analysis
                                    ",,,,,,,,,,,,,,"591 
                                        Research in Special Topics
                                    ",,,,,,,,,,,,,,,,,,"574 
                                        Historiography of Religion in America
                                    ",,,,,,,,,,,,,,,"537 
                                        Theory & Practice of Data Cleaning
                                    ",,,,,,,,,,,,,,,,,,"584 
                                        Methods of Combinatorics
                                    ",,,,,,,,"452 
                                        Special Topics in Harpsichord
                                    ",,,,,"435 
                                        Advanced Jazz Piano
                                    ",,,,,,,,,,,,"570 
                                        Principles and Methods of Teaching Psychology
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"493 
                                        Lighting Opera & Musicals
                                    ",,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"557 
                                        Business Intelligence
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"565 
                                        Human-Computer Interaction
                                    ","788 
                                        Introduction to Anatomic Pathology
                                    ","531 
                                        MFA Prof Practice Seminar
                                    ",,,,"492 
                                        Parallel Progrmg: Sci & Engrg
                                    ",,,,,,,,,,,,,,"593 
                                        Professional Seminar in College Teaching
                                    ",,,,,,,,,,,,,,,,,,"575 
                                        Problems African American Hist
                                    ",,,,,,,,,,,,,,,"540 
                                        Social Justice in the Information Professions
                                    ",,,,,,,,,,,,,,,,,,"593 
                                        Mathematical Internship
                                    ",,,,,,,,"453 
                                        Special Topics in Organ
                                    ",,,,,"436 
                                        Advanced Jazz Double Bass
                                    ",,,,,,,,,,,,"575 
                                        Clinical/Community: Diversity
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"498 
                                        Audio Engineering II
                                    ",,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"565 
                                        Strategic Sourcing
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"574 
                                        Randomized Algorithms
                                    ","789 
                                        Introduction to Clinical Pathology
                                    ","550 
                                        Advanced Research in Dance
                                    ",,,,"496 
                                        Senior Research Project
                                    ",,,,,,,,,,,,,,"599 
                                        Thesis Research
                                    ",,,,,,,,,,,,,,,,,,"594 
                                        Intro Historical Writing
                                    ",,,,,,,,,,,,,,,"541 
                                        Copyright for Information Professions
                                    ",,,,,,,,,,,,,,,,,,"595 
                                        Advanced Topics in Mathematics
                                    ",,,,,,,,"455 
                                        Advanced Keyboard Skills II
                                    ",,,,,"437 
                                        Advanced Jazz Guitar
                                    ",,,,,,,,,,,,"576 
                                        Clinical/Community: Biological
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"522 
                                        Structures for the Stage II
                                    ",,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"567 
                                        Process Management
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"575 
                                        Methods of Combinatorics
                                    ","790 
                                        Advanced Focus in Clinical Pathology
                                    ","560 
                                        Advanced Physical Practice
                                    ",,,,"498 
                                        Special Topics in ECE
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"596 
                                        Individual Research Project
                                    ",,,,,,,,,,,,,,,"542 
                                        Research and Inquiry for Youth
                                    ",,,,,,,,,,,,,,,,,,"597 
                                        Reading Course
                                    ",,,,,,,,"459 
                                        Professional Internship
                                    ",,,,,"438 
                                        Advanced Jazz Percussion
                                    ",,,,,,,,,,,,"577 
                                        Clinical/Community:Cog/Affect
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"530 
                                        Technical Direction II
                                    ",,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"572 
                                        Stat for Mgt Decision Making
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"586 
                                        Combinatorial Optimization
                                    ","793 
                                        Quality Improvement & Patient Safety
                                    ","598 
                                        Creative Thesis Project
                                    ",,,,"499 
                                        Senior Thesis
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"597 
                                        Reading Course
                                    ",,,,,,,,,,,,,,,"543 
                                        Digital Preservation
                                    ",,,,,,,,,,,,,,,,,,"599 
                                        Thesis Research
                                    ",,,,,,,,"465 
                                        Jazz History II
                                    ",,,,,"448 
                                        Concerto Urbano Baroque Orchestra
                                    ",,,,,,,,,,,,"578 
                                        Clinical/Community:Development
                                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,"550 
                                        Colloquium Design & Theat Tech
                                    ",,,,,,,,
